ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
174,Cumplimiento plan de formación SGC,✅,✅,✅,✅,✅,✅,Ficha Técnica
175,CUMPLIMIENTO DE CRONOGRAMA GESTIÓN DE RESIDUOS,✅,✅,✅,❌,✅,✅,Ficha Técnica
176,Cumplimiento planes de mejora,✅,✅,✅,✅,✅,✅,Ficha Técnica
177,CUMPLIMIENTO DE REQUISITOS DE LA NORMATIVIDAD AMBI,✅,✅,✅,❌,✅,✅,Ficha Técnica
178,CALIDAD DE AGUA POTABLE SEDE CITY CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
179,CONSUMO DE PAPEL SEDE CITY CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
180,CONSUMO ENERGÍA ELÉCTRICA SEDE CITY CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
181,GESTIÓN DEL AIRE SEDE CITY CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
182,MANTENIMIENTO DISEÑO PAISAJÍSTICO SEDE CITY CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
185,CUMPLIMIENTO SGA SEDE CITY CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
186,CONSUMO DE AGUA SEDE CITY CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
188,COMPENSACIÓN HUELLA DE CARBONO SEDE CITY CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
189,VALORIZACIÓN DE RESIDUOS CONVENCIONALES SEDE CITY ,✅,✅,✅,❌,✅,✅,Ficha Técnica
190,VALORIZACIÓN DE RESIDUOS PELIGROSOS SEDE CITY CAMP,✅,✅,✅,❌,✅,✅,Ficha Técnica
191,GASES EFECTO INVERNADERO SEDE CITY CAMPUS,✅,✅,✅,❌,✅,✅,Ficha Técnica
192,ACTIVIDADES MANEJO INTEGRAL DE RESIDUOS SEDE CITY ,✅,✅,✅,❌,✅,✅,Ficha Técnica
193,Porcentaje de Cumplimiento del Acuerdo de Nivel de,✅,✅,✅,✅,✅,✅,Ficha Técnica
194,Índice de satisfacción del estudiante (SSI),✅,✅,✅,✅,✅,✅,Ficha Técnica
195,NPS- Net Promotor Score,✅,✅,✅,✅,✅,✅,Ficha Técnica
196,(% de solicitudes procesos Pareto),✅,✅,✅,✅,✅,✅,Ficha Técnica
197,Cumplimiento cronograma Mantenimiento de Equipos,✅,✅,✅,✅,✅,✅,Ficha Técnica
198,Proyectos Tecnológicos,✅,✅,✅,✅,✅,✅,Ficha Técnica
199,Nivel de cumplimiento de eficacia las capacitacion,✅,✅,✅,✅,✅,✅,Ficha Técnica
200,Nivel de efectividad de las capacitaciones,✅,✅,✅,✅,✅,✅,Ficha Técnica
202,Great Place to Work,✅,✅,✅,✅,✅,✅,Ficha Técnica
203,Cumplimiento de Ingresos,✅,✅,✅,✅,✅,✅,Ficha Técnica
204,Caja,✅,✅,✅,✅,✅,✅,Ficha Técnica
205,Utilidad Neta,✅,✅,✅,✅,✅,✅,Ficha Técnica
206,Inversión en CAPEX de la utilidad anterior,✅,✅,✅,✅,✅,✅,Ficha Técnica
207,Nivel de Cumplimiento Opex,✅,✅,✅,✅,✅,✅,Ficha Técnica
208,Consumo de Agua m3 Mensual,✅,✅,✅,✅,✅,✅,Ficha Técnica
209,Consumo de Agua m3 Campus,✅,✅,✅,✅,✅,✅,Ficha Técnica
210,Aporte de los Procesos a los Objetivos de Desarrol,✅,✅,✅,✅,✅,✅,Ficha Técnica
213,Cumplimiento del Plan Anual del Sistema de Gestión,✅,✅,✅,✅,✅,✅,Ficha Técnica
214,Generación de Residuos Sólidos Mensual,✅,✅,✅,✅,✅,✅,Ficha Técnica
215,Disminución de la Generación de Residuos per Cápit,✅,✅,✅,✅,✅,✅,Ficha Técnica
216,Disposición Ambientalmente Adecuada de Residuos Pe,✅,✅,✅,✅,✅,✅,Ficha Técnica
217,Aprovechamiento de Residuos,✅,✅,✅,✅,✅,✅,Ficha Técnica
218,Consumo de Energía Eléctrica kWh Mensual,✅,✅,✅,✅,✅,✅,Ficha Técnica
219,Disminución del Consumo de Energía Eléctrica per C,✅,✅,✅,✅,✅,✅,Ficha Técnica
220,Disminución del Consumo de Agua per Cápita,✅,✅,✅,✅,✅,✅,Ficha Técnica
221,Riesgo de la Calidad del Agua Potable,✅,✅,✅,✅,✅,✅,Ficha Técnica
222,Calidad de las Aguas Residuales Domesticas,✅,✅,✅,✅,✅,✅,Ficha Técnica
223,Registro de Publicidad Exterior Visual,✅,✅,✅,✅,✅,✅,Ficha Técnica
224,Cumplimiento Nivel de Emisión de Ruido,✅,✅,✅,✅,✅,✅,Ficha Técnica
225,Acciones para el Cuidado y Mantenimiento de las Es,✅,✅,✅,✅,✅,✅,Ficha Técnica
226,Generación de Gases de Efecto Invernadero,✅,✅,✅,✅,✅,✅,Ficha Técnica
227,Generación de  Gases de Efecto Invernadero per Cáp,✅,✅,✅,✅,✅,✅,Ficha Técnica
228,Compensación de Gases de Efecto Invernadero,✅,✅,✅,✅,✅,✅,Ficha Técnica
230,Ejecución de Eventos de Formación en Materia Ambie,✅,✅,✅,✅,✅,✅,Ficha Técnica
231,Asistencia Eventos de Formación en Materia Ambient,✅,✅,✅,✅,✅,✅,Ficha Técnica
232,Ejecución de las Comunicaciones en Materia Ambient,✅,✅,✅,✅,✅,✅,Ficha Técnica
233,Impacto de las Comunicaciones Correo Electrónico,✅,✅,✅,✅,✅,✅,Ficha Técnica
234,Impacto de las Comunicaciones en Materia Ambiental,✅,✅,✅,✅,✅,✅,Ficha Técnica
235,Cumplimiento de Requisitos Legales Ambientales Apl,✅,✅,✅,✅,✅,✅,Ficha Técnica
236,Actos Administrativos o Decisiones Judiciales Ambi,✅,✅,✅,✅,✅,✅,Ficha Técnica
237,Cumplimiento Proyecto nuevo Polisigs,✅,✅,✅,✅,✅,✅,Ficha Técnica
238,Cumplimiento de la Protección del Medio Ambiente,✅,✅,✅,✅,✅,✅,Ficha Técnica
239,Portafolio De Proyectos - Metrica,✅,✅,✅,✅,✅,✅,Ficha Técnica
240,Cumplimiento De Gestión De Proyectos Cerrados,✅,✅,✅,✅,✅,✅,Ficha Técnica
241,Cumplimiento De Gestión De Proyectos Fase Inicio,✅,✅,✅,✅,✅,✅,Ficha Técnica
242,Cumplimiento A Cronograma De Proyectos,✅,✅,✅,✅,✅,✅,Ficha Técnica
243,Cumplimiento De Gestión De Proyectos Control De Ca,✅,✅,✅,✅,✅,✅,Ficha Técnica
244,GreenMetric - Nacional,✅,✅,✅,✅,✅,✅,Ficha Técnica
245,Tasa de Permanencia Intersemestral,✅,✅,✅,✅,✅,✅,Ficha Técnica
246,Satisfacción del proceso de grados presencial,✅,✅,✅,✅,✅,✅,Ficha Técnica
247,Solicitud de certificados,✅,✅,✅,✅,✅,✅,Ficha Técnica
248,Programas Con Reforzamiento Curricular,✅,✅,✅,✅,✅,✅,Ficha Técnica
249,Programas Con Matriz De Resultado De Aprendizaje,✅,✅,✅,✅,✅,✅,Ficha Técnica
250,Cumplimiento de cronograma de reportes de planes a,✅,✅,✅,✅,✅,✅,Ficha Técnica
251,Subprocesos Con CMI Estructurado.,✅,✅,✅,✅,✅,✅,Ficha Técnica
252,Tasa de Permanencia Intersemestral de Estudiantes ,✅,✅,✅,✅,✅,✅,Ficha Técnica
253,Oportunidad en la entrega de informes de auditoria,✅,✅,✅,✅,✅,✅,Ficha Técnica
254,Áreas con reportes de plan de retos,✅,✅,✅,✅,✅,✅,Ficha Técnica
255,Informe anual de variación de índice H - Metrica,✅,✅,✅,✅,✅,✅,Ficha Técnica
256,Publicaciones editadas por la editorial,✅,✅,✅,✅,✅,✅,Ficha Técnica
257,N° de publicaciones aprobadas en convocatorias,✅,✅,✅,✅,✅,✅,Ficha Técnica
258,N° de publicaciones incluidas para indexación,✅,✅,✅,✅,✅,✅,Ficha Técnica
259,Subprocesos con indicadores reportados oportunamen,✅,✅,✅,✅,✅,✅,Ficha Técnica
260,CES- Costumer Effort Score del proceso de Rematríc,✅,✅,✅,✅,✅,✅,Ficha Técnica
261,CES- Costumer Effort Score del proceso de Saber Pr,✅,✅,✅,✅,✅,✅,Ficha Técnica
262,Reducción de número de sentencias condenatorias en,✅,✅,✅,✅,✅,✅,Ficha Técnica
263,Oportunidad de respuesta de PQRS,✅,✅,✅,✅,✅,✅,Ficha Técnica
264,Eficiencia Emisión De Conceptos Jurídicos (Educaci,✅,✅,✅,✅,✅,✅,Ficha Técnica
265,Eficiencia Emisión De Conceptos Jurídicos (Jurídic,✅,✅,✅,✅,✅,✅,Ficha Técnica
266,Oportunidad en la elaboración de contratos,✅,✅,✅,✅,✅,✅,Ficha Técnica
267,Satisfacción procesos de Homologaciones,✅,✅,✅,✅,✅,✅,Ficha Técnica
268,Cantidad de usuarios,✅,✅,✅,✅,✅,✅,Ficha Técnica
269,N de personas promedio por evento,✅,✅,✅,✅,✅,✅,Ficha Técnica
270,N de horas promedio por evento,✅,✅,✅,✅,✅,✅,Ficha Técnica
271,N de horas por solicitud,✅,✅,✅,✅,✅,✅,Ficha Técnica
272,Proporción de accidentes de trabajo mortales,✅,✅,✅,✅,✅,✅,Ficha Técnica
273,Número de programas con condiciones iniciales elab,✅,✅,✅,✅,✅,✅,Ficha Técnica
274,Cumplimiento total estudiantes antiguos,✅,✅,✅,✅,✅,✅,Ficha Técnica
275,Satisfacción Institucional por grupo de interes,✅,✅,✅,✅,✅,✅,Ficha Técnica
276,Relación Estudiante-Docente Tiempo completo,✅,✅,✅,✅,✅,✅,Ficha Técnica
277,Relación estudiante docente Tiempo Completo Equiva,✅,✅,✅,✅,✅,✅,Ficha Técnica
278,Docentes contratados - Metrica,✅,✅,✅,✅,✅,✅,Ficha Técnica
279,Docentes tiempo completo,✅,✅,✅,✅,✅,✅,Ficha Técnica
280,Docentes medio tiempo,✅,✅,✅,✅,✅,✅,Ficha Técnica
281,Docentes cátedra,✅,✅,✅,✅,✅,✅,Ficha Técnica
282,Cobertura de Docentes evaluados,✅,✅,✅,✅,✅,✅,Ficha Técnica
283,Resultado evaluación docente,✅,✅,✅,✅,✅,✅,Ficha Técnica
284,N° Horas semanales docentes,✅,✅,✅,✅,✅,✅,Ficha Técnica
285,Docentes con plan de trabajo asignado,✅,✅,✅,✅,✅,✅,Ficha Técnica
286,Total docentes por nivel de estudios,✅,✅,✅,✅,✅,✅,Ficha Técnica
287,N° docentes escalafonados,✅,✅,✅,✅,✅,✅,Ficha Técnica
288,Número docentes escalafonados presentados en convo,✅,✅,✅,✅,✅,✅,Ficha Técnica
289,Cumplimiento plan de comunicaciones SGC,✅,✅,✅,✅,✅,✅,Ficha Técnica
290,Cierre eficaz de las oportunidades de mejora,✅,✅,✅,✅,✅,✅,Ficha Técnica
