ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
230,Ejecución de Eventos de Formación en Materia Ambie,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
231,Asistencia Eventos de Formación en Materia Ambient,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
232,Ejecución de las Comunicaciones en Materia Ambient,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
233,Impacto de las Comunicaciones Correo Electrónico,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
234,Impacto de las Comunicaciones en Materia Ambiental,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
235,Cumplimiento de Requisitos Legales Ambientales Apl,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
236,Actos Administrativos o Decisiones Judiciales Ambi,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
237,Cumplimiento Proyecto nuevo Polisigs,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
238,Cumplimiento de la Protección del Medio Ambiente,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
239,Portafolio de Proyectos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
240,Cumplimiento de Gestión De Proyectos Cerrados - El,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
241,Cumplimiento de gestión de proyectos fase inicio -,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
242,Cumplimiento a cronograma de proyectos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
243,Cumplimiento de gestión de proyectos control de ca,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
244,GreenMetric - Nacional,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
245,Permanencia Intersemestral,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
246,Satisfacción del proceso de grados,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
247,Solicitud de certificados,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
248,Programas con reforzamiento curricular,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
249,Programas con matriz de resultado de aprendizaje,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
254,Áreas con reportes de plan de retos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
251,Procesos Con CMI Estructurado (eliminar),✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
252,Permanencia intersemestral ingresantes,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
253,Oportunidad en la entrega de informes de auditoria,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
255,Informe anual de variación de índice H,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
256,Publicaciones editadas por la editorial,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
257,N de publicaciones aprobadas en convocatorias,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
259,Procesos con indicadores reportados oportunamente ,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
260,CES- Costumer Effort Score del proceso de Rematríc,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
261,CES- Costumer Effort Score del proceso de Saber Pr,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
262,Reducción de número de sentencias condenatorias en,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
263,Oportunidad de respuesta de PQRS,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
264,Eficiencia Emisión De Conceptos Jurídicos (Educaci,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
265,Eficiencia Emisión De Conceptos Jurídicos (Jurídic,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
266,Oportunidad en la elaboración de contratos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
267,Satisfacción procesos de Homologaciones,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
268,Cantidad de usuarios,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
269,N de personas promedio por evento,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
270,N de horas promedio por evento,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
271,N de horas por solicitud,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
