Proceso,Subproceso,Indicador Propuesto
AUTOEVALUACIÓN Y AUTOREGULACIÓN,Autoevaluación institucional,Nùmero participantes en  Procesos formación permanente desarrollados desde el SIAC
GESTIÓN Y DESARROLLO DEL TALENTO HUMANO,GESTIÓN Y DESARROLLO DEL TALENTO HUMANO,Cobertura Evaluación del Desempeño 360°
DOCENCIA,Gestión de unidades académicas,Valor agregado en la pruebas Saber Pro Institucional- Modelo PSM
GESTIÓN DE PORTAFOLIO INSTITUCIONAL,"Creación, modificación y cierre de programas académicos",Número de programas con estudio de factibilidad y pertinencia
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación","% de grupos de investigación  clasificados en A1, A y B"
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación",Número de proyectos de investigación de Innovación y Creación con impacto social 
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación",Número de proyectos de investigación de Innovación y Creación con impacto ambiental 
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación",% de profesores TC clasificados como investigadores en Minciencias
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación","Número de productos de Nuevo conocimiento, desarrollo tecnológico, innovación y creación"
EXTENSIÓN,Gestión de la Responsabilidad Social,Tasa de Participación en actividades de Extensión
GESTIÓN FINANCIERA,Planeación Financiera,"Participación ingresos por extensión (Consultorias, alquiler de espacios, prestación de servicios, centros de investigación entre otros) / total ingresos "
AUTOEVALUACIÓN Y AUTOREGULACIÓN,Autoevaluación institucional,Número de convenios internacionales activos
BIENESTAR INSTITUCIONAL ,Cultura y Deporte,"Tasa de participación en actividades de bienestar (Cultura, Deporte y Salud) Separado/ Consolidado
Estudiantes,  colaboradores y profesores"
BIENESTAR INSTITUCIONAL ,Cultura y Deporte,Satisfacción de la comunidad con las actividades de bienestar realizadas (Instrumento de experiencia)
BIENESTAR INSTITUCIONAL ,Cultura y Deporte,Satisfacción de la comunidad virtual con las actividades de bienestar realizadas (Instrumento de experiencia)
BIENESTAR INSTITUCIONAL ,Cultura y Deporte,Cobertura de actividades de bienestar institucional por modalidad virtual y regiones
DOCENCIA,Gestión Docente,Participación en actividades de sensibilización del reglamento profesoral
DOCENCIA,Gestión Docente,Socialización de reglamento con profesores nuevos
DOCENCIA,Gestión Docente,"Relación docente/estudiante
(Bogotá- Virtual) - Contrato indefinido y fijo anualizado"
DOCENCIA,Gestión Docente,Participación de profesores TC y MT/ Total de profesores (Personas)
DOCENCIA,Gestión Docente,Proporción de profesores con nivel de formación (Maestria y Doctorado)
DOCENCIA,Gestión Docente,"Porcentaje de Docentes con clasificación de ingles en C1, C2, B1 o B2"
COMUNICACIÓN Y POSICIONAMIENTO ESTRATÉGICO,Comunicaciones Internas,N° de estudiantes impactados por las campañas de comunicación de reglamento estudiantil
"MERCADEO, ADMISIONES  Y MATRÍCULA","Inscripción, admisión y matrícula de estudiantes nuevos","Medición de la experiencia del proceso de inscripción, admisión y matriculas "
SERVICIO Y PERMANENCIA,Permanencia,"Tasa de graduación  - Interno
Modalidad y nivel"
SERVICIO Y PERMANENCIA,Servicio,Porcentaje de Estudiantes beneficiados por Becas y apoyos financieros
EXTENSIÓN,Gestión de Graduados,Tasa de empleabilidad de recièn graduados de pregrado
EXTENSIÓN,Gestión de Graduados,Nivel de Satisfacción del graduado con la institución (Experiencia)
DOCENCIA,GESTIÓN DOCENTE,"Nivel de satisfacción y experiencia docente con el proceso de gestión docente.
Propuesta: Despliegue de indicadores por sede"
EXTENSIÓN,GESTIÓN DE GRADUADOS,No aplica
EXTENSIÓN,PRÁCTICAS,"% de estudiantes con práctica legalizada

% de cumplimiento del cronograma de prácticas

% de escenarios formalizados vs. Proyectados - Cobertura de escenarios de prácticas

Nivel de satisfacción del estudiante con la práctica
(Legalización- Escenario de practica) Multiserie
Nivel de satisfacción del escenario con el proceso institucional

Aprobación de prácticas con errores
(N de practicas aprobadas sin errores /Total prácticas aprobadas)

Propuesta: Despliegue de indicadores por sede"
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","Investigación, desarrollo tecnológico, innovación y creación","Nivel de satisfacción de investigadores (Cambio de nombre)

Proyecto de investigación con impacto en las regiones

Indicador de nuevo conocimiento"
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN ","FORMACIÓN PARA LA INVESTIGACIÓN, CREACIÓN E INNOVACIÓN",Nivel de apropiación de la cultura investigativa (medición cualitativa o cuantitativa) (Validar)
GESTIÓN DE PORTAFOLIO INSTITUCIONAL,"Gestión, Evaluación e Innovación Curricular","Plantear algun indicadore de impacto o mejora permanente

Satisfacción de estudiantes y graduados con el curriculo"
VISIBILIDAD NACIONAL E INTERNACIONAL,VISIBILIDAD NACIONAL E INTERNACIONAL,"
Propuesta: Despliegue de indicadores por sede o modalidad"
"MERCADEO, ADMISIONES  Y MATRÍCULA",MERCADEO DE PROGRAMAS ACADÉMICOS,"ROI de campañas de mercadeo:  la efectividad por canal, el retorno de inversión (ROI) o la fidelización.

Costo de adquisición de estudiantes 
Costo de conversión: (Inversión total en mercadeo/ Numero total de conversiones)

Retorno sobre la inversión en mercadeo  
(Ingresos generados por nuevas matriculas - Costo de mercadeo)/Costo de mercadeo"
