Id,Indicador,Clasificacion,Linea,Periodicidad,Meta,Objetivo,Orden CMI,Nivel
239,Portafolio de Proyectos,Operativo,Transformación_Organizacional,Mensual,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,301.0,Nivel 3
240,Cumplimiento de Gestión De Proyectos Cerrados,Operativo,Transformación_Organizacional,Trimestral,Impulsar la mejora y optimización de procesos,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,302.0,Nivel 3
241,Cumplimiento de gestión de proyectos fase inicio,Operativo,Transformación_Organizacional,Mensual,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,303.0,Nivel 3
242,Cumplimiento a cronograma de proyectos,Estratégico,Transformación_Organizacional,Mensual,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,304.0,Nivel 1
243,Cumplimiento de gestión de proyectos control de cambios,Operativo,Transformación_Organizacional,Mensual,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,305.0,Nivel 3
244,GreenMetric - Nacional,Estratégico,Sostenibilidad,Anual,Promover una cultura de protección y cuidado del medio ambiente,"Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente",248.0,Nivel 1
245,Permanencia Intersemestral,Estratégico,Experiencia,Semestral,Alcanzar una tasa de permanencia intersemestral superior al 90%,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,36.0,Nivel 1
246,Satisfacción del proceso de grados,Estratégico,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,167.0,Nivel 1
247,Solicitud de certificados,Operativo,Transformación_Organizacional,Mensual,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,306.0,Nivel 3
248,Programas con reforzamiento curricular,Estratégico,Calidad,Semestral,Innovar en el currículo,Fortalecer la oferta educativa y la innovación curricular,9.0,Nivel 1
249,Programas con matriz de resultado de aprendizaje,Estratégico,Calidad,Semestral,Innovar en el currículo,Fortalecer la oferta educativa y la innovación curricular,10.0,Nivel 1
254,Áreas con reportes de plan de retos,Operativo,Transformación_Organizacional,Trimestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,307.0,Nivel 3
251,Procesos Con CMI Estructurado,Estratégico,Transformación_Organizacional,Trimestral,Ampliar el alcance del Sistema Integrado - POLISIGS y su apropiación en la comunidad,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,308.0,Nivel 1
252,Permanencia intersemestral ingresantes,Estratégico,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,168.0,Nivel 1
253,Oportunidad en la entrega de informes de auditoria,Estratégico,Transformación_Organizacional,Bimestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,309.0,Nivel 1
255,Informe anual de variación de índice H,Estratégico,Transformación_Organizacional,Anual,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,310.0,Nivel 1
256,Publicaciones editadas por la editorial,Estratégico,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,311.0,Nivel 1
257,N de publicaciones aprobadas en convocatorias,Estratégico,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,312.0,Nivel 1
259,Procesos con indicadores reportados oportunamente,Operativo,Transformación_Organizacional,Trimestral,Impulsar la mejora y optimización de procesos,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,313.0,Nivel 3
260,CES- Costumer Effort Score del proceso de Rematrícula,Estratégico,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,169.0,Nivel 1
